prize1_pre_3digits,prize2_pre_3digits,prize1_sub_3digits,prize2_sub_3digits,prize_2digits
384,576,46,509,58
186,392,192,212,93
726,594,810,561,99
323,539,155,297,79
512,464,202,97,26
670,340,815,591,10
832,903,549,726,78
403,530,138,362,27
429,901,210,217,83
432,507,132,868,46
310,553,248,650,95
357,130,506,47,20
527,980,225,602,85
273,654,76,526,60
131,787,638,924,85
64,720,205,489,82
318,870,589,723,29
7,388,230,748,39
106,947,181,519,31
624,799,236,397,50
495,373,953,504,98
616,836,290,938,89
626,303,601,257,33
831,961,477,628,98
165,425,485,36,85
180,971,128,287,86
611,726,462,952,52
172,647,340,388,71
345,679,195,278,65
115,302,253,945,37
61,386,787,989,36
584,835,390,823,87
226,489,5,688,26
626,878,740,373,47
121,218,581,881,61
8,396,490,603,53
573,949,773,923,35
766,973,241,807,40
20,57,500,709,80
324,918,694,941,92
450,560,52,577,78
128,464,375,953,14
66,807,426,628,42
511,663,516,836,25
304,890,477,769,46
596,366,716,199,35
513,873,148,450,77
682,40,570,558,44
976,824,752,38,86
692,885,32,587,98
280,194,458,17,33
583,493,43,160,42
334,335,630,669,62
966,366,596,631,33
538,983,472,871,57
734,552,925,158,55
169,609,173,302,53
804,251,749,321,79
775,111,937,880,14
382,975,87,268,98
238,403,671,46,2
228,8,507,523,87
546,390,285,852,92
877,855,973,4,32
530,426,155,743,6
699,312,309,535,98
625,999,54,76,9
31,532,786,743,50
246,264,895,596,2
140,250,94,638,8
238,181,714,175,78
241,28,643,802,3
106,757,166,473,45
457,134,412,54,62
175,918,440,799,7
435,209,375,84,6
260,403,68,819,89
227,624,648,781,40
333,598,648,889,53
294,461,761,830,49
81,565,567,814,26
253,386,429,532,5
314,700,876,969,65
484,799,851,928,38
163,195,366,818,30
101,164,495,973,38
557,558,861,962,70
339,622,623,757,92
8,31,498,857,34
103,392,825,843,90
8,83,286,813,79
68,398,595,877,74
535,853,950,982,57
80,763,775,901,90
161,380,580,820,11
179,422,480,709,25
203,607,855,979,44
647,784,848,910,94
86,159,251,520,44
112,257,342,790,35
308,477,490,912,22
187,633,639,912,91
349,576,623,637,82
104,117,205,944,45
123,271,441,864,39
140,158,576,639,95
160,324,409,636,18
112,150,246,505,20
143,158,673,797,52
13,344,355,634,26
186,499,835,938,95
250,305,400,904,79
116,537,753,798,35
74,397,521,530,1
406,492,888,976,95
77,149,242,510,52
275,503,513,750,48
