date,lotto,type
2024-02-01,779424,"prize_2nd"
2024-02-01,808878,"prize_2nd"
2024-02-01,851911,"prize_2nd"
2024-02-01,053669,"prize_3rd"
2024-02-01,087418,"prize_3rd"
2024-02-01,113069,"prize_3rd"
2024-02-01,516593,"prize_3rd"
2024-02-01,535443,"prize_3rd"
2024-02-01,545456,"prize_3rd"
2024-02-01,678876,"prize_3rd"
2024-02-01,697943,"prize_3rd"
2024-02-01,772652,"prize_3rd"
2024-02-01,831569,"prize_3rd"
2024-02-01,011437,"prize_4th"
2024-02-01,090487,"prize_4th"
2024-02-01,185741,"prize_4th"
2024-02-01,255118,"prize_4th"
2024-02-01,426517,"prize_4th"
2024-02-01,515514,"prize_4th"
2024-02-01,572213,"prize_4th"
2024-02-01,656613,"prize_4th"
2024-02-01,737293,"prize_4th"
2024-02-01,873398,"prize_4th"
2024-02-01,030830,"prize_4th"
2024-02-01,093784,"prize_4th"
2024-02-01,198247,"prize_4th"
2024-02-01,275169,"prize_4th"
2024-02-01,430848,"prize_4th"
2024-02-01,520713,"prize_4th"
2024-02-01,587566,"prize_4th"
2024-02-01,676743,"prize_4th"
2024-02-01,783463,"prize_4th"
2024-02-01,880249,"prize_4th"
2024-02-01,037206,"prize_4th"
2024-02-01,117545,"prize_4th"
2024-02-01,206816,"prize_4th"
2024-02-01,331311,"prize_4th"
2024-02-01,471627,"prize_4th"
2024-02-01,538407,"prize_4th"
2024-02-01,609558,"prize_4th"
2024-02-01,685863,"prize_4th"
2024-02-01,804429,"prize_4th"
2024-02-01,901593,"prize_4th"
2024-02-01,058236,"prize_4th"
2024-02-01,156102,"prize_4th"
2024-02-01,226331,"prize_4th"
2024-02-01,377270,"prize_4th"
2024-02-01,477468,"prize_4th"
2024-02-01,547540,"prize_4th"
2024-02-01,634141,"prize_4th"
2024-02-01,693752,"prize_4th"
2024-02-01,826063,"prize_4th"
2024-02-01,914433,"prize_4th"
2024-02-01,068121,"prize_4th"
2024-02-01,166931,"prize_4th"
2024-02-01,254032,"prize_4th"
2024-02-01,421727,"prize_4th"
2024-02-01,491440,"prize_4th"
2024-02-01,569388,"prize_4th"
2024-02-01,644810,"prize_4th"
2024-02-01,703523,"prize_4th"
2024-02-01,854418,"prize_4th"
2024-02-01,974231,"prize_4th"
2024-02-01,018319,"prize_5th"
2024-02-01,135643,"prize_5th"
